country,country_code
Afghanistan,4
Albania,8
Algeria,12
American Samoa,16
Andorra,20
Angola,24
Anguilla,660
Antigua & Barbuda,28
Argentina,32
Armenia,51
Aruba,533
Australia,36
Austria,40
Azerbaijan,31
Bahamas,44
Bahrain,48
Bangladesh,50
Barbados,52
Belarus,112
Belgium,56
Belize,84
Benin,204
Bermuda,60
Bhutan,64
Bolivia,68
Bosnia & Herzegovina,70
Botswana,72
Brazil,76
British Virgin Islands,92
Brunei Darussalam,96
Bulgaria,100
Burkina Faso,854
Burundi,108
Cambodia,116
Cameroon,120
Canada,124
Cape Verde,132
Cayman Islands,136
Central African Republic,140
Chad,148
Chile,152
China,156
Chinese Taipei,#N/A
Colombia,170
Comoros,174
Congo,178
Cook Islands,184
Costa Rica,188
Croatia,191
Cuba,192
Cyprus,196
Czechia,203
DPR Korea,408
DR Congo,180
Denmark,208
Djibouti,262
Dominica,212
Dominican Republic,214
Ecuador,218
Egypt,818
El Salvador,222
Equatorial Guinea,226
Eritrea,232
Estonia,233
Eswatini,748
Ethiopia,231
Faeroe Islands,#N/A
Falkland Islands,238
Fiji,242
Finland,246
France,251
French Guiana,#N/A
French Polynesia,258
Gabon,266
Gambia,270
Georgia,268
Germany,276
Ghana,288
Greece,300
Greenland,304
Grenada,308
Guadeloupe,#N/A
Guam,316
Guatemala,320
Guinea,324
Guinea-Bissau,624
Guyana,328
Haiti,332
Honduras,340
Hong Kong,344
Hungary,348
Iceland,352
India,699
Indonesia,360
Iran,364
Iraq,368
Ireland,372
Israel,376
Italy,380
Ivory Coast,384
Jamaica,388
Japan,392
Jordan,400
Kazakhstan,398
Kenya,404
Kiribati,296
Kuwait,414
Kyrgyzstan,417
Lao,418
Latvia,428
Lebanon,422
Lesotho,426
Liberia,430
Libya,434
Liechtenstein,#N/A
Lithuania,440
Luxembourg,442
Macao,#N/A
Macedonia,#N/A
Madagascar,450
Malawi,454
Malaysia,458
Maldives,462
Mali,466
Malta,470
Marshall Islands,#N/A
Martinique,#N/A
Mauritania,478
Mauritius,480
Mayotte,#N/A
Mexico,484
Micronesia,#N/A
Monaco,#N/A
Mongolia,496
Montenegro,499
Montserrat,500
Morocco,504
Mozambique,508
Myanmar,104
Namibia,516
Nauru,520
Nepal,524
Netherlands,528
Netherlands Antilles,#N/A
New Caledonia,540
New Zealand,554
Nicaragua,558
Niger,562
Nigeria,566
Niue,570
Norfolk Island,#N/A
North Macedonia,807
Northern Mariana Islands,#N/A
Norway,579
Oman,512
Pakistan,586
Palau,585
Panama,591
Papua New Guinea,598
Paraguay,600
Peru,604
Philippines,608
Pitcairn,612
Poland,616
Portugal,620
Puerto Rico,#N/A
Qatar,634
Republic of Korea,410
Republic of Kosovo,#N/A
Republic of Moldova,#N/A
Republic of the Sudan,#N/A
Romania,642
Russia,643
Rwanda,646
Réunion,#N/A
Saint Helena,654
Saint Kitts & Nevis,#N/A
Saint Lucia,662
Saint Pierre & Miquelon,#N/A
Saint Vincent & the Grenadines,#N/A
Saint-Barthélemy,#N/A
Saint-Martin,#N/A
Samoa,882
San Marino,674
Sao Tome & Principe,#N/A
Saudi Arabia,682
Senegal,686
Serbia,688
Seychelles,690
Sierra Leone,694
Singapore,702
Slovakia,703
Slovenia,705
Solomon Islands,#N/A
Somalia,706
South Africa,710
South Sudan,728
Spain,724
Sri Lanka,144
State of Palestine,275
Suriname,740
Svalbard & Jan Mayen Islands,#N/A
Sweden,752
Switzerland,757
Syria,760
Tajikistan,762
Tanzania,#N/A
Thailand,764
Timor-Leste,626
Togo,768
Tokelau,772
Tonga,776
Trinidad & Tobago,780
Tunisia,788
Turkiye,792
Turkmenistan,795
Turks & Caicos Islands,#N/A
Tuvalu,798
US Virgin Islands,#N/A
Uganda,800
Ukraine,804
United Arab Emirates,784
United Kingdom,826
United States of America,842
Uruguay,858
Uzbekistan,860
Vanuatu,548
Vatican,#N/A
Venezuela,862
Vietnam,#N/A
Wallis & Futuna Islands,#N/A
Western Sahara,#N/A
Yemen,887
Zambia,894
Zimbabwe,716
